Group Name,A/c name,wing,unit,Debit,Credit,Penalty(Debit) 
Bank Accounts,Abhyudaya Bank,,,45841,,
Bank Accounts,Mah. State Co-op Bank,,,42173,,
Bank Accounts,SVC Bank,,,1244789,,
Capital Account,Share Capital,,,,50750,
Current Assets,Accrued Interest,,,520245,,
Current Assets,Cash-in-hand,,,4971,,
Current Assets,Stock / Inventories,,,16454,,
Current Liabilities,Advance from Members,,,,340618,
Current Liabilities,Contribution for Conveyance Deed,,,,1405228,
Current Liabilities,Provisions,,,1265146,449972,
Fixed Assets,Building,,,83000000,,
Fixed Assets,Computers,,,5198,,
Fixed Assets,Furniture & Fixtures,,,119907,,
Fixed Assets,Gym Equipments,,,127803,,
Fixed Assets,Income & Expenditure A/c,,,300804,,
Fixed Assets,Land,,,97511083,,
Fixed Assets,Surveillance & Security Systems,,,36514,,
Investments,Deposits with Electricity Cos,,,36380,,
Investments,Deposits with Water Supply Cos,,,340618,,
Investments,Fixed Deposits - Conveyance Fund,,,1000000,,
Investments,Fixed Deposits - Repairs Fund,,,4698245,,
Investments,Fixed Deposits - Share money,,,76000,,
Investments,Fixed Deposits - Sinking Fund,,,1636045,,
Investments,Shares of Federation,,,500,,
Reserve & Surplus,Members Contribution toward Land & Building,,,,180511083,
Reserve & Surplus,Repair Fund (Reserves),,,,7097866,
Reserve & Surplus,Reserve Fund Seed Money,,,,29200,
Reserve & Surplus,Sinking Fund (Reserves),,,,2143999,
