Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
Flat,101,2 bhk,889
Flat,102,2 bhk,889
Flat,201,2 bhk,823
Flat,202,2 bhk,827
Flat,203,2 bhk,885
Flat,204,2 bhk,863
Flat,301,2 bhk,769
Flat,302,2 bhk,769
Flat,303,2 bhk,769
Flat,304,2 bhk,769
Flat,401,2 bhk,896
Flat,402,2 bhk,900
Flat,403,2 bhk,902
Flat,404,2 bhk,898
Flat,501,2 bhk,889
Flat,502,2 bhk,889
Flat,503,2 bhk,899
Flat,504,2 bhk,899
Flat,601,2 bhk,896
Flat,602,2 bhk,900
Flat,603,2 bhk,902
Flat,604,2 bhk,898
Flat,701,2 bhk,889
Flat,702,2 bhk,889
Flat,703,2 bhk,899
Flat,704,2 bhk,899
Flat,801,2 bhk,896
Flat,802,2 bhk,900
Flat,803,2 bhk,902
Flat,804,2 bhk,898
Flat,901,3 bhk,1523
Flat,902,3 bhk,1527
Flat,903,3 bhk,1527
Flat,904,3 bhk,1523
Office,1,Office,298
Office,2,Office,284
Office,3,Office,284
Office,4,Office,320
Office,5,Office,252
Shop,1,Shop,334
Shop,2,Shop,314
Shop,3,Shop,314
Shop,4,Shop,370
