Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
A,301,3 Bhk,1925
A,302,3 Bhk,1864
A,401,2 Bhk,1355
A,402,2 Bhk,1400
A,501,2 Bhk,1285
A,502,2 Bhk,1325
A,601,3 Bhk,1585
A,602,2 Bhk,1625
A,701,2 Bhk,1375
A,702,2 Bhk,1420
A,801,2 Bhk,1325
A,802,2 Bhk,1285
A,901,3 Bhk,1585
A,902,2 Bhk,1635
A,1001,2 Bhk,1355
A,1002,2 Bhk,1400
A,1101,2 Bhk,1300
A,1102,2 Bhk,1340
A,1201,,1585
A,1202,2 Bhk,1625
A,1301,2 Bhk,1300
A,1302,2 Bhk,1415
A,1401,2 Bhk,1285
A,1402,2 Bhk,1325
A,1501,2 Bhk,1580
A,1502,2 Bhk,1620
A,1601,2 Bhk,1355
A,1602,,1400
A,1701,2 Bhk,1285
A,1702,2 Bhk,1325
A,1801,2 Bhk,1585
A,1802,,1625
A,1901,2 Bhk,1375
A,1902,2 Bhk,1420
A,2001,2 Bhk,1285
A,2002,2 Bhk,1325
A,2101,,1585
A,2102,2 Bhk,1635
A,2201,2 Bhk,1445
A,2202,2 Bhk,1400
A,2302,3 Bhk,2019
A,2401,4 Bhk,3616
A,2501,4 Bhk,3486
A,2601,4 Bhk,3616
A,2701,6 bhk,5569
B,301,3 bhk,1864
B,302,,1925
B,401,2 Bhk,1400
B,402,2 Bhk,1355
B,501,2 Bhk,1325
B,502,2 Bhk,1285
B,601,2 Bhk,1625
B,602,2 Bhk,1585
B,701,2 Bhk,1420
B,702,2 Bhk,1375
B,802,2 Bhk,1285
B,901,2 Bhk,1635
B,902,2 Bhk,1585
B,1001,2 Bhk,1400
B,1002,2 Bhk,1355
B,1101,2 Bhk,1340
B,1102,2 Bhk,1300
B,1201,2 Bhk,1625
B,1202,2 Bhk,1585
B,1301,2 Bhk,1415
B,1401,2 Bhk,1325
B,1402,2 Bhk,1402
B,1501,2 Bhk,1620
B,1502,2 Bhk,1580
B,1601,2 Bhk,1400
B,1602,2 Bhk,1355
B,1701,2 Bhk,1325
B,1702,2 Bhk,1285
B,1802,2 Bhk,1585
B,1901,2 Bhk,1420
B,1902,2 Bhk,1375
B,2001,2 Bhk,1325
B,2002,2 Bhk,1285
B,2101,2 Bhk,1635
B,2102,2 Bhk,1585
B,2201,2 Bhk,1400
B,2202,2 Bhk,1467
B,2301,4 Bhk,3626
B,2401,4 Bhk,3616
B,2501,4 Bhk,3486
B,2601,4 Bhk,3616
B,2701,6 Bhk,5509
