Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
A,1,1 BHK,500
A,2,1 BHK,500
A,3,1 BHK,500
A,4,1 BHK,500
A,5,1 BHK,500
A,6,1 BHK,500
A,7,1 BHK,500
A,8,1 BHK,500
A,9,1 BHK,500
A,10,1 BHK,500
A,11,1 BHK,500
A,12,1 BHK,500
A,13,1 BHK,500
A,14,1 BHK,500
A,15,1 BHK,500
A,16,1 BHK,500
A,17,1 BHK,500
A,18,1 BHK,500
A,19,1 BHK,500
A,20,1 BHK,500
A,21,1 BHK,500
A,22,1 BHK,500
A,23,1 BHK,500
A,24,1 BHK,500
A,25,1 BHK,500
A,26,1 BHK,500
A,27,1 BHK,500
A,28,1 BHK,500
A,29,1 BHK,500
A,30,1 BHK,500
A,31,1 BHK,500
A,32,1 BHK,500
A,33,1 BHK,500
A,34,1 BHK,500
A,35,1 BHK,500
A,36,1 BHK,500
A,37,1 BHK,500
A,38,1 BHK,500
A,39,1 BHK,500
A,40,1 BHK,500
A,41,1 BHK,500
A,42,1 BHK,500
A,43,1 BHK,500
A,44,1 BHK,500
A,45,1 BHK,500
A,46,1 BHK,500
A,47,1 BHK,500
A,48,1 BHK,500
A,49,1 BHK,500
A,50,1 BHK,500
B,51,2 BHK,550
B,52,2 BHK,550
B,53,2 BHK,550
B,54,2 BHK,550
B,55,2 BHK,550
B,56,2 BHK,550
B,57,2 BHK,550
B,58,2 BHK,550
B,59,2 BHK,550
B,60,2 BHK,550
B,61,2 BHK,550
B,62,2 BHK,550
B,63,2 BHK,550
B,64,2 BHK,550
B,65,2 BHK,550
B,66,2 BHK,550
B,67,2 BHK,550
B,68,2 BHK,550
B,69,2 BHK,550
B,70,2 BHK,550
B,71,2 BHK,550
B,72,2 BHK,550
B,73,2 BHK,550
B,74,2 BHK,550
B,75,2 BHK,550
B,76,2 BHK,550
B,77,2 BHK,550
B,78,2 BHK,550
B,79,2 BHK,550
B,80,2 BHK,550
B,81,2 BHK,550
B,82,2 BHK,550
B,83,2 BHK,550
B,84,2 BHK,550
B,85,2 BHK,550
B,86,2 BHK,550
B,87,2 BHK,550
B,88,2 BHK,550
B,89,2 BHK,550
B,90,2 BHK,550
B,91,2 BHK,550
B,92,2 BHK,550
B,93,2 BHK,550
B,94,2 BHK,550
B,95,2 BHK,550
B,96,2 BHK,550
B,97,2 BHK,550
B,98,2 BHK,550
B,99,2 BHK,550
B,100,2 BHK,550
C,101,3 BHK,600
C,102,3 BHK,600
C,103,3 BHK,600
C,104,3 BHK,600
C,105,3 BHK,600
C,106,3 BHK,600
C,107,3 BHK,600
C,108,3 BHK,600
C,109,3 BHK,600
C,110,3 BHK,600
C,111,3 BHK,600
C,112,3 BHK,600
C,113,3 BHK,600
C,114,3 BHK,600
C,115,3 BHK,600
C,116,3 BHK,600
C,117,3 BHK,600
C,118,3 BHK,600
C,119,3 BHK,600
C,120,3 BHK,600
C,121,3 BHK,600
C,122,3 BHK,600
C,123,3 BHK,600
C,124,3 BHK,600
C,125,3 BHK,600
C,126,3 BHK,600
C,127,3 BHK,600
C,128,3 BHK,600
C,129,3 BHK,600
C,130,3 BHK,600
C,131,3 BHK,600
C,132,3 BHK,600
C,133,3 BHK,600
C,134,3 BHK,600
C,135,3 BHK,600
C,136,3 BHK,600
C,137,3 BHK,600
C,138,3 BHK,600
C,139,3 BHK,600
C,140,3 BHK,600
C,141,3 BHK,600
C,142,3 BHK,600
C,143,3 BHK,600
C,144,3 BHK,600
C,145,3 BHK,600
C,146,3 BHK,600
C,147,3 BHK,600
C,148,3 BHK,600
C,149,3 BHK,600
C,150,3 BHK,600
D,101,4 BHK,650
D,102,4 BHK,650
D,103,4 BHK,650
D,104,4 BHK,650
D,105,4 BHK,650
D,106,4 BHK,650
D,107,4 BHK,650
D,108,4 BHK,650
D,109,4 BHK,650
D,110,4 BHK,650
D,111,4 BHK,650
D,112,4 BHK,650
D,113,4 BHK,650
D,114,4 BHK,650
D,115,4 BHK,650
D,116,4 BHK,650
D,117,4 BHK,650
D,118,4 BHK,650
D,119,4 BHK,650
D,120,4 BHK,650
D,121,4 BHK,650
D,122,4 BHK,650
D,123,4 BHK,650
D,124,4 BHK,650
D,125,4 BHK,650
D,126,4 BHK,650
D,127,4 BHK,650
D,128,4 BHK,650
D,129,4 BHK,650
D,130,4 BHK,650
D,131,4 BHK,650
D,132,4 BHK,650
D,133,4 BHK,650
D,134,4 BHK,650
D,135,4 BHK,650
D,136,4 BHK,650
D,137,4 BHK,650
D,138,4 BHK,650
D,139,4 BHK,650
D,140,4 BHK,650
D,141,4 BHK,650
D,142,4 BHK,650
D,143,4 BHK,650
D,144,4 BHK,650
D,145,4 BHK,650
D,146,4 BHK,650
D,147,4 BHK,650
D,148,4 BHK,650
D,149,4 BHK,650
D,150,4 BHK,650
