Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) ,,,
A,201,2 bhk,1075,,,
A,202,3 bhk,1460,,,
A,203,2 bhk,1135,,,
A,204,2 bhk,1135,,,
A,205,3 bhk,1460,,,
A,206,2 bhk,1075,,,
A,301,2 bhk,1100,,,
A,302,3 bhk,1460,,,
A,303,2 bhk,1160,,,
A,304,2 bhk,1160,,,
A,305,3 bhk,1460,,,
A,306,2 bhk,1100,,,
A,401,2 bhk,1075,,,
A,402,3 bhk,1460,,,
A,403,2 bhk,1135,,,
A,404,2 bhk,1135,,,
A,405,3 bhk,1460,,,
A,406,2 bhk,1075,,,
A,501,2 bhk,1100,,,
A,502,3 bhk,1460,,,
A,503,2 bhk,1160,,,
A,504,2 bhk,1160,,,
A,505,3 bhk,1460,,,
A,506,2 bhk,1100,,,
A,601,2 bhk,1075,,,
A,602,3 bhk,1460,,,
A,603,2 bhk,1135,,,
A,604,2 bhk,1135,,,
A,605,3 bhk,1460,,,
A,606,2 bhk,1075,,,
A,701,2 bhk,1100,,,
A,702,3 bhk,1460,,,
A,703,2 bhk,1160,,,
A,704,2 bhk,1160,,,
A,705,3 bhk,1460,,,
A,706,2 bhk,1100,,,
A,801,2 bhk,1075,,,
A,802,3 bhk,1460,,,
A,803,2 bhk,1135,,,
A,804,2 bhk,1135,,,
A,805,3 bhk,1460,,,
A,806,2 bhk,1075,,,
A,901,2 bhk,1100,,,
A,902,3 bhk,1460,,,
A,903,2 bhk,1160,,,
A,904,2 bhk,1160,,,
A,905,3 bhk,1460,,,
A,906,2 bhk,1100,,,
A,1001,2 bhk,1075,,,
A,1002,3 bhk,1460,,,
A,1003,2 bhk,1135,,,
A,1004,2 bhk,1135,,,
A,1005,3 bhk,1460,,,
A,1006,2 bhk,1075,,,
A,1101,2 bhk,1100,,,
A,1102,3 bhk,1460,,,
A,1103,2 bhk,1160,,,
A,1104,2 bhk,1160,,,
A,1105,3 bhk,1460,,,
A,1106,2 bhk,1100,,,
A,1201,2 bhk,1075,,,
A,1202,3 bhk,1460,,,
A,1203,2 bhk,1135,,,
A,1204,2 bhk,1135,,,
A,1205,3 bhk,1460,,,
A,1206,2 bhk,1075,,,
A,1301,2 bhk,1100,,,
A,1302,3 bhk,2170,,,
A,1303,2 bhk,1760,,,
A,1304,2 bhk,1760,,,
A,1305,3 bhk,2170,,,
A,1306,2 bhk,1100,,,
B,201,2 bhk,1135,,,
B,202,3 bhk,1460,,,
B,203,2 bhk,1075,,,
B,204,2 bhk,1075,,,
B,205,3 bhk,1460,,,
B,206,2 bhk,1135,,,
B,301,2 bhk,1160,,,
B,302,3 bhk,1460,,,
B,303,2 bhk,1100,,,
B,304,2 bhk,1100,,,
B,305,3 bhk,1460,,,
B,306,2 bhk,1160,,,
B,401,2 bhk,1135,,,
B,402,3 bhk,1460,,,
B,403,2 bhk,1075,,,
B,404,2 bhk,1075,,,
B,405,3 bhk,1460,,,
B,406,2 bhk,1135,,,
B,501,2 bhk,1160,,,
B,502,3 bhk,1460,,,
B,503,2 bhk,1100,,,
B,504,2 bhk,1100,,,
B,505,3 bhk,1460,,,
B,506,2 bhk,1160,,,
B,601,2 bhk,1135,,,
B,602,3 bhk,1460,,,
B,603,2 bhk,1075,,,
B,604,2 bhk,1075,,,
B,605,3 bhk,1460,,,
B,606,2 bhk,1135,,,
B,701,2 bhk,1160,,,
B,702,3 bhk,1460,,,
B,703,2 bhk,1100,,,
B,704,2 bhk,1100,,,
B,705,3 bhk,1460,,,
B,706,2 bhk,1160,,,
B,801,2 bhk,1135,,,
B,802,3 bhk,1460,,,
B,803,2 bhk,1075,,,
B,804,2 bhk,1075,,,
B,805,3 bhk,1460,,,
B,806,2 bhk,1135,,,
B,901,2 bhk,1160,,,
B,902,3 bhk,1460,,,
B,903,2 bhk,1100,,,
B,904,2 bhk,1100,,,
B,905,3 bhk,1460,,,
B,906,2 bhk,1160,,,
B,1001,2 bhk,1135,,,
B,1002,3 bhk,1460,,,
B,1003,2 bhk,1075,,,
B,1004,2 bhk,1075,,,
B,1005,3 bhk,1460,,,
B,1006,2 bhk,1135,,,
B,1101,2 bhk,1160,,,
B,1102,3 bhk,1460,,,
B,1103,2 bhk,1100,,,
B,1104,2 bhk,1100,,,
B,1105,3 bhk,1460,,,
B,1106,2 bhk,1160,,,
B,1201,2 bhk,1135,,,
B,1202,3 bhk,1460,,,
B,1203,2 bhk,1075,,,
B,1204,2 bhk,1075,,,
B,1205,3 bhk,1460,,,
B,1206,2 bhk,1135,,,
B,1301,2 bhk,1760,,,
B,1302,3 bhk,2170,,,
B,1303,2 bhk,1100,,,
B,1304,2 bhk,1100,,,
B,1305,3 bhk,2170,,,
B,1306,2 bhk,1760,,,
Office,1,Office,2625,,,
Office,2,Office,2205,,,
Office,3,Office,2100,,,
Office,4,Office,2625,,,
Shop,1,Shop,675,,,
Shop,2,Shop,675,,,
Shop,3,Shop,675,,,
Shop,4,Shop,675,,,
Shop,5,Shop,675,,,
Shop,6,Shop,675,,,
Shop,7,Shop,675,,,
Shop,8,Shop,675,,,
Shop,9,Shop,675,,,
Shop,10,Shop,675,,,
Shop,11,Shop,675,,,
Shop,12,Shop,675,,,
Shop,13,Shop,675,,,
Shop,14,Shop,675,,,
Shop,15,Shop,675,,,
Shop,16,Shop,675,,,
