Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
SHOP,1,Shop,401
SHOP,2,Shop,401
SHOP,3,Shop,401
SHOP,4,Shop,401
SHOP,5,Shop,401
SHOP,6,Shop,401
SHOP,7,Shop,376
SHOP,8,Shop,474
SHOP,9,Shop,414
SHOP,10,Shop,328
SHOP,11,Shop,479
SHOP,12,Shop,463
SHOP,13,Shop,391
SHOP,14,Shop,391
SHOP,15,Shop,391
SHOP,16,Shop,391
SHOP,17,Shop,391
SHOP,18,Shop,391
SHOP,19,Shop,391
SHOP,20,Shop,391
Showroom,1,Shop,728
Showroom,2,Shop,731
TOWER NO 1,101,3 BHK,1542
TOWER NO 1,102,2 BHK,1294
TOWER NO 1,201,3 BHK,1542
TOWER NO 1,202,2 BHK,1294
TOWER NO 1,301,3 BHK,1542
TOWER NO 1,302,2 BHK,1294
TOWER NO 1,401,3 BHK,1705
TOWER NO 1,402,2 BHK,1362
TOWER NO 1,501,3 BHK ,1750
TOWER NO 1,502,2 BHK,1352
TOWER NO 1,601,3 BHK ,1750
TOWER NO 1,602,2 BHK,1350
TOWER NO 1,701,3 BHK ,1782
TOWER NO 1,702,2 BHK,1373
TOWER NO 1,801,3 BHK ,1837
TOWER NO 1,802,2 BHK,1440
TOWER NO 1,901,3 BHK ,1713
TOWER NO 1,902,2 BHK,1307
TOWER NO 1,1001,3 BHK ,1664
TOWER NO 1,1002,2 BHK,1301
TOWER NO 1,1101,3 BHK ,1586
TOWER NO 1,1102,2 BHK,1207
TOWER NO 1,1201,3 BHK ,1518
TOWER NO 1,1202,2 BHK,1202
TOWER NO 1,1301,3 BHK ,1429
TOWER NO 1,1302,2 BHK,1116
TOWER NO 1,1401,3 BHK ,2906
TOWER NO 1,1402,2 BHK,2074
TOWER NO 2,101,3 BHK ,1542
TOWER NO 2,102,2 BHK,1294
TOWER NO 2,201,3 BHK ,1542
TOWER NO 2,202,2 BHK,1294
TOWER NO 2,301,3 BHK ,1542
TOWER NO 2,302,2 BHK,1294
TOWER NO 2,401,3 BHK ,1705
TOWER NO 2,402,2 BHK,1362
TOWER NO 2,501,3 BHK ,1750
TOWER NO 2,502,2 BHK,1352
TOWER NO 2,601,3 BHK ,1750
TOWER NO 2,602,2 BHK,1350
TOWER NO 2,701,3 BHK ,1782
TOWER NO 2,702,2 BHK,1373
TOWER NO 2,801,3 BHK ,1837
TOWER NO 2,802,2 BHK,1440
TOWER NO 2,901,3 BHK ,1713
TOWER NO 2,902,2 BHK,1307
TOWER NO 2,1001,3 BHK ,1664
TOWER NO 2,1002,2 BHK,1301
TOWER NO 2,1101,3 BHK ,1586
TOWER NO 2,1102,2 BHK,1207
TOWER NO 2,1201,3 BHK ,1518
TOWER NO 2,1202,2 BHK,1202
TOWER NO 2,1301,3 BHK ,1429
TOWER NO 2,1302,2 BHK,1116
TOWER NO 2,1401,3 BHK ,2906
TOWER NO 2,1402,2 BHK,2074
TOWER NO 3,101,3 BHK ,1542
TOWER NO 3,102,2 BHK,1294
TOWER NO 3,201,3 BHK ,1542
TOWER NO 3,202,2 BHK,1294
TOWER NO 3,301,3 BHK ,1542
TOWER NO 3,302,2 BHK,1294
TOWER NO 3,401,3 BHK ,1705
TOWER NO 3,402,2 BHK,1362
TOWER NO 3,501,3 BHK ,1750
TOWER NO 3,502,2 BHK,1352
TOWER NO 3,601,3 BHK ,1750
TOWER NO 3,602,2 BHK,1350
TOWER NO 3,701,3 BHK ,1782
TOWER NO 3,702,2 BHK,1373
TOWER NO 3,801,3 BHK ,1837
TOWER NO 3,802,2 BHK,1440
TOWER NO 3,901,3 BHK ,1713
TOWER NO 3,902,2 BHK,1307
TOWER NO 3,1001,3 BHK ,1664
TOWER NO 3,1002,2 BHK,1301
TOWER NO 3,1101,3 BHK ,1586
TOWER NO 3,1102,2 BHK,1207
TOWER NO 3,1201,3 BHK ,1518
TOWER NO 3,1202,2 BHK,1202
TOWER NO 3,1301,3 BHK ,1429
TOWER NO 3,1302,2 BHK,1116
TOWER NO 3,1401,3 BHK ,2906
TOWER NO 3,1402,2 BHK,2074
TOWER NO 4,101,3 BHK ,1542
TOWER NO 4,102,2 BHK,1294
TOWER NO 4,201,3 BHK ,1542
TOWER NO 4,202,2 BHK,1294
TOWER NO 4,301,3 BHK ,1542
TOWER NO 4,302,2 BHK,1294
TOWER NO 4,401,3 BHK ,1705
TOWER NO 4,402,2 BHK,1362
TOWER NO 4,501,3 BHK ,1750
TOWER NO 4,502,2 BHK,1352
TOWER NO 4,601,3 BHK ,1750
TOWER NO 4,602,2 BHK,1350
TOWER NO 4,701,3 BHK ,1782
TOWER NO 4,702,2 BHK,1373
TOWER NO 4,801,3 BHK ,1837
TOWER NO 4,802,2 BHK,1440
TOWER NO 4,901,3 BHK ,1713
TOWER NO 4,902,2 BHK,1307
TOWER NO 4,1001,3 BHK ,1664
TOWER NO 4,1002,2 BHK,1301
TOWER NO 4,1101,3 BHK ,1586
TOWER NO 4,1102,2 BHK,1207
TOWER NO 4,1201,3 BHK ,1518
TOWER NO 4,1202,2 BHK,1202
TOWER NO 4,1301,3 BHK ,1429
TOWER NO 4,1302,2 BHK,1116
TOWER NO 4,1401,3 BHK ,2906
TOWER NO 4,1402,2 BHK,2074
TOWER NO 5,101,3 BHK ,1542
TOWER NO 5,102,2 BHK,1294
TOWER NO 5,201,3 BHK ,1542
TOWER NO 5,202,2 BHK,1294
TOWER NO 5,301,3 BHK ,1542
TOWER NO 5,302,2 BHK,1294
TOWER NO 5,401,3 BHK ,1705
TOWER NO 5,402,2 BHK,1362
TOWER NO 5,501,3 BHK ,1750
TOWER NO 5,502,2 BHK,1352
TOWER NO 5,601,3 BHK ,1750
TOWER NO 5,602,2 BHK,1350
TOWER NO 5,701,3 BHK ,1782
TOWER NO 5,702,2 BHK,1373
TOWER NO 5,801,3 BHK ,1837
TOWER NO 5,802,2 BHK,1440
TOWER NO 5,901,3 BHK ,1713
TOWER NO 5,902,2 BHK,1307
TOWER NO 5,1001,3 BHK ,1664
TOWER NO 5,1002,2 BHK,1301
TOWER NO 5,1101,3 BHK ,1586
TOWER NO 5,1102,2 BHK,1207
TOWER NO 5,1201,3 BHK ,1518
TOWER NO 5,1202,2 BHK,1202
TOWER NO 5,1301,3 BHK ,1429
TOWER NO 5,1302,2 BHK,1116
TOWER NO 5,1401,3 BHK ,2906
TOWER NO 5,1402,2 BHK,2074
TOWER NO 6,101,3 BHK,1542
TOWER NO 6,102,2 BHK,1294
TOWER NO 6,201,3 BHK,1542
TOWER NO 6,202,2 BHK,1294
TOWER NO 6,301,3 BHK,1542
TOWER NO 6,302,2 BHK,1294
TOWER NO 6,401,3 BHK,1705
TOWER NO 6,402,2 BHK,1362
TOWER NO 6,501,3 BHK,1750
TOWER NO 6,502,2 BHK,1352
TOWER NO 6,601,3 BHK,1750
TOWER NO 6,602,2 BHK,1350
TOWER NO 6,701,3 BHK,1782
TOWER NO 6,702,2 BHK,1373
TOWER NO 6,801,3 BHK,1837
TOWER NO 6,802,2 BHK,1440
TOWER NO 6,901,3 BHK,1713
TOWER NO 6,902,2 BHK,1307
TOWER NO 6,1001,3 BHK,1664
TOWER NO 6,1002,2 BHK,1301
TOWER NO 6,1101,3 BHK,1586
TOWER NO 6,1102,2 BHK,1207
TOWER NO 6,1201,3 BHK,1518
TOWER NO 6,1202,2 BHK,1202
TOWER NO 6,1301,3 BHK,1429
TOWER NO 6,1302,2 BHK,1116
TOWER NO 6,1401,3 BHK,2906
TOWER NO 6,1402,2 BHK,2074
TOWER NO 7,101,3 BHK,1542
TOWER NO 7,102,2 BHK,1294
TOWER NO 7,201,3 BHK,1542
TOWER NO 7,202,2 BHK,1294
TOWER NO 7,301,3 BHK,1542
TOWER NO 7,302,2 BHK,1294
TOWER NO 7,401,3 BHK,1705
TOWER NO 7,402,2 BHK,1362
TOWER NO 7,501,3 BHK,1750
TOWER NO 7,502,2 BHK,1352
TOWER NO 7,601,3 BHK,1750
TOWER NO 7,602,2 BHK,1350
TOWER NO 7,701,3 BHK,1782
TOWER NO 7,702,2 BHK,1373
TOWER NO 7,801,3 BHK,1837
TOWER NO 7,802,2 BHK,1440
TOWER NO 7,901,3 BHK,1713
TOWER NO 7,902,2 BHK,1307
TOWER NO 7,1001,3 BHK,1664
TOWER NO 7,1002,2 BHK,1301
TOWER NO 7,1101,3 BHK,1586
TOWER NO 7,1102,2 BHK,1207
TOWER NO 7,1201,3 BHK,1518
TOWER NO 7,1202,2 BHK,1202
TOWER NO 7,1301,3 BHK,1429
TOWER NO 7,1302,2 BHK,1116
TOWER NO 7,1401,3 BHK,2906
TOWER NO 7,1402,2 BHK,2074
TOWER NO 8,101,3 BHK,1542
TOWER NO 8,102,2 BHK,1294
TOWER NO 8,201,3 BHK,1542
TOWER NO 8,202,2 BHK,1294
TOWER NO 8,301,3 BHK,1542
TOWER NO 8,302,2 BHK,1294
TOWER NO 8,401,3 BHK,1705
TOWER NO 8,402,2 BHK,1362
TOWER NO 8,501,3 BHK,1750
TOWER NO 8,502,2 BHK,1352
TOWER NO 8,601,3 BHK,1750
TOWER NO 8,602,2 BHK,1350
TOWER NO 8,701,3 BHK,1782
TOWER NO 8,702,2 BHK,1373
TOWER NO 8,801,3 BHK,1837
TOWER NO 8,802,2 BHK,1440
TOWER NO 8,901,3 BHK,1713
TOWER NO 8,902,2 BHK,1307
TOWER NO 8,1001,3 BHK,1664
TOWER NO 8,1002,2 BHK,1301
TOWER NO 8,1101,3 BHK,1586
TOWER NO 8,1102,2 BHK,1207
TOWER NO 8,1201,3 BHK,1518
TOWER NO 8,1202,2 BHK,1202
TOWER NO 8,1301,3 BHK,1429
TOWER NO 8,1302,2 BHK,1116
TOWER NO 8,1401,3 BHK,2906
TOWER NO 8,1402,2 BHK,2074
TOWER NO 9,101,3 BHK,1542
TOWER NO 9,102,2 BHK,1294
TOWER NO 9,201,3 BHK,1542
TOWER NO 9,202,2 BHK,1294
TOWER NO 9,301,3 BHK,1542
TOWER NO 9,302,2 BHK,1294
TOWER NO 9,401,3 BHK,1705
TOWER NO 9,402,2 BHK,1362
TOWER NO 9,501,3 BHK,1750
TOWER NO 9,502,2 BHK,1352
TOWER NO 9,601,3 BHK,1750
TOWER NO 9,602,2 BHK,1350
TOWER NO 9,701,3 BHK,1782
TOWER NO 9,702,2 BHK,1373
TOWER NO 9,801,3 BHK,1837
TOWER NO 9,802,2 BHK,1440
TOWER NO 9,901,3 BHK,1713
TOWER NO 9,902,2 BHK,1307
TOWER NO 9,1001,3 BHK,1664
TOWER NO 9,1002,2 BHK,1301
TOWER NO 9,1101,3 BHK,1586
TOWER NO 9,1102,2 BHK,1207
TOWER NO 9,1201,3 BHK,1518
TOWER NO 9,1202,2 BHK,1202
TOWER NO 9,1301,3 BHK,1429
TOWER NO 9,1302,2 BHK,1116
TOWER NO 9,1401,3 BHK,2906
TOWER NO 9,1402,2 BHK,2074
TOWER NO10,101,3 BHK,1542
TOWER NO10,102,2 BHK,1294
TOWER NO10,201,3 BHK,1542
TOWER NO10,202,2 BHK,1294
TOWER NO10,301,3 BHK,1542
TOWER NO10,302,2 BHK,1294
TOWER NO10,401,3 BHK,1705
TOWER NO10,402,2 BHK,1362
TOWER NO10,501,3 BHK,1750
TOWER NO10,502,2 BHK,1352
TOWER NO10,601,3 BHK,1750
TOWER NO10,602,2 BHK,1350
TOWER NO10,701,3 BHK,1782
TOWER NO10,702,2 BHK,1373
TOWER NO10,801,3 BHK,1837
TOWER NO10,802,2 BHK,1440
TOWER NO10,901,3 BHK,1713
TOWER NO10,902,2 BHK,1307
TOWER NO10,1001,3 BHK,1664
TOWER NO10,1002,2 BHK,1301
TOWER NO10,1101,3 BHK,1586
TOWER NO10,1102,2 BHK,1207
TOWER NO10,1201,3 BHK,1518
TOWER NO10,1202,2 BHK,1202
TOWER NO10,1301,3 BHK,1429
TOWER NO10,1302,2 BHK,1116
TOWER NO10,1401,3 BHK,2906
TOWER NO10,1402,2 BHK,2074
