Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
A,1001,1 BHK,500
A,1002,1 BHK,500
A,1003,1 BHK,500
A,1004,1 BHK,500
A,1005,1 BHK,500
B,501,1 BHK,500
B,502,1 BHK,500
B,503,1 BHK,500
B,504,1 BHK,500
B,505,1 BHK,500
FLAT,201,2 BHK,650
FLAT,202,2 BHK,650
FLAT,203,2 BHK,650
FLAT,301,2 BHK,650
FLAT,302,2 BHK,650
FLAT,303,2 BHK,650
FLAT,401,2 BHK,650
FLAT,402,2 BHK,650
FLAT,403,2 BHK,650
FLAT,501,2 BHK,650
FLAT,502,2 BHK,650
FLAT,503,2 BHK,650
FLAT,601,2 BHK,650
FLAT,602,2 BHK,650
FLAT,603,2 BHK,650
FLAT,701,2 BHK,650
FLAT,702,2 BHK,650
FLAT,703,2 BHK,650
FLAT,801,2 BHK,650
FLAT,802,2 BHK,650
FLAT,803,2 BHK,650
FLAT,901,2 BHK,650
FLAT,902,2 BHK,650
FLAT,903,2 BHK,650
FLAT,1001,2 BHK,650
FLAT,1002,2 BHK,650
FLAT,1003,2 BHK,650
FLAT,1101,2 BHK,650
FLAT,1102,2 BHK,650
FLAT,1103,2 BHK,650
FLAT,1201,2 BHK,650
FLAT,1202,2 BHK,650
FLAT,1203,2 BHK,650
FLAT,1301,2 BHK,650
FLAT,1302,2 BHK,650
FLAT,1303,2 BHK,650
FLAT,1401,2 BHK,650
FLAT,1402,2 BHK,650
FLAT,1403,2 BHK,650
FLAT,1501,2 BHK,650
FLAT,1502,2 BHK,650
FLAT,1503,2 BHK,650
FLAT,1601,2 BHK,650
FLAT,1602,2 BHK,650
FLAT,1603,2 BHK,650
FLAT,1701,2 BHK,650
FLAT,1702,2 BHK,650
FLAT,1703,2 BHK,650
SHOP,1,3 BHK,700
SHOP,2,3 BHK,700
SHOP,3,3 BHK,700
SHOP,4,3 BHK,700
SHOP,5,3 BHK,700
SHOP,6,3 BHK,700
SHOP,7,3 BHK,700
SHOP,8,3 BHK,700
SHOP,9,3 BHK,700
SHOP,10,3 BHK,700
SHOP,11,3 BHK,700
SHOP,12,3 BHK,700
SHOP,13,3 BHK,700
SHOP,14,3 BHK,700
SHOP,15,3 BHK,700
SHOP,16,3 BHK,700
SHOP,17,3 BHK,700
