Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
Wing A,100,1 BHK,1000
Wing A,101,1 BHK,1000
Wing A,102,1 BHK,1000
Wing A,103,1 BHK,1000
Wing A,104,1 BHK,1000
Wing A,105,1 BHK,1000
Wing A,106,1 BHK,1000
Wing A,107,1 BHK,1000
Wing A,108,1 BHK,1000
Wing A,109,1 BHK,1000
Wing A,110,1 BHK,1000
Wing A,111,1 BHK,1000
Wing A,112,1 BHK,1000
Wing A,113,1 BHK,1000
Wing A,114,1 BHK,1000
Wing A,115,1 BHK,1000
Wing A,116,1 BHK,1000
Wing A,117,1 BHK,1000
Wing A,118,1 BHK,1000
Wing A,119,1 BHK,1000
Wing A,120,1 BHK,1000
Wing A,121,1 BHK,1000
Wing A,122,1 BHK,1000
Wing A,123,1 BHK,1000
Wing A,124,1 BHK,1000
Wing A,125,1 BHK,1000
Wing A,126,1 BHK,1000
Wing A,127,1 BHK,1000
Wing A,128,1 BHK,1000
Wing A,129,1 BHK,1000
Wing A,130,1 BHK,1000
Wing A,131,1 BHK,1000
Wing A,132,1 BHK,1000
Wing A,133,1 BHK,1000
Wing A,134,1 BHK,1000
Wing A,135,1 BHK,1000
Wing A,136,1 BHK,1000
Wing A,137,1 BHK,1000
Wing A,138,1 BHK,1000
Wing A,139,1 BHK,1000
Wing A,140,1 BHK,1000
Wing A,141,1 BHK,1000
Wing A,142,1 BHK,1000
Wing A,143,1 BHK,1000
Wing A,144,1 BHK,1000
Wing A,145,1 BHK,1000
Wing A,146,1 BHK,1000
Wing A,147,1 BHK,1000
Wing A,148,1 BHK,1000
Wing A,149,1 BHK,1000
Wing A,150,1 BHK,1000
Wing A,151,1 BHK,1000
Wing A,152,1 BHK,1000
Wing A,153,1 BHK,1000
Wing A,154,1 BHK,1000
Wing A,155,1 BHK,1000
Wing A,156,1 BHK,1000
Wing A,157,1 BHK,1000
Wing A,158,1 BHK,1000
Wing A,159,1 BHK,1000
Wing A,160,1 BHK,1000
Wing A,161,1 BHK,1000
Wing A,162,1 BHK,1000
Wing A,163,1 BHK,1000
Wing A,164,1 BHK,1000
Wing A,165,1 BHK,1000
Wing A,166,1 BHK,1000
Wing A,167,1 BHK,1000
Wing A,168,1 BHK,1000
Wing A,169,1 BHK,1000
Wing A,170,1 BHK,1000
Wing A,171,1 BHK,1000
Wing A,172,1 BHK,1000
Wing A,173,1 BHK,1000
Wing A,174,1 BHK,1000
Wing A,175,1 BHK,1000
Wing A,176,1 BHK,1000
Wing A,177,1 BHK,1000
Wing A,178,1 BHK,1000
Wing A,179,1 BHK,1000
Wing A,180,1 BHK,1000
Wing A,181,1 BHK,1000
Wing A,182,1 BHK,1000
Wing A,183,1 BHK,1000
Wing A,184,1 BHK,1000
Wing A,185,1 BHK,1000
Wing A,186,1 BHK,1000
Wing A,187,1 BHK,1000
Wing A,188,1 BHK,1000
Wing A,189,1 BHK,1000
Wing A,190,1 BHK,1000
