Wing,Flat Number,Flat Type,Flat Area (Sq. Ft.) 
Wing A,101,1 BHK,1000
Wing A,102,1 BHK,1000
Wing A,103,1 BHK,1000
Wing A,104,1 BHK,1000
Wing A,105,1 BHK,1000
Wing A,106,1 BHK,1000
Wing A,107,1 BHK,1000
Wing A,108,1 BHK,1000
Wing A,109,1 BHK,1000
Wing A,110,1 BHK,1000
Wing A,111,1 BHK,1000
Wing A,112,1 BHK,1000
Wing A,113,1 BHK,1000
Wing A,114,1 BHK,1000
Wing A,115,1 BHK,1000
Wing A,116,1 BHK,1000
Wing A,117,1 BHK,1000
Wing A,118,1 BHK,1000
Wing A,119,1 BHK,1000
Wing A,120,1 BHK,1000
Wing A,121,1 BHK,1000
Wing A,122,1 BHK,1000
Wing A,123,1 BHK,1000
Wing A,124,1 BHK,1000
Wing A,125,1 BHK,1000
Wing A,126,1 BHK,1000
Wing A,127,1 BHK,1000
Wing A,128,1 BHK,1000
Wing A,129,1 BHK,1000
Wing A,130,1 BHK,1000
Wing A,131,1 BHK,1000
Wing A,132,1 BHK,1000
Wing A,133,1 BHK,1000
Wing A,134,1 BHK,1000
Wing A,135,1 BHK,1000
Wing A,136,1 BHK,1000
Wing A,137,1 BHK,1000
Wing A,138,1 BHK,1000
Wing A,139,1 BHK,1000
Wing A,140,1 BHK,1000
Wing A,141,1 BHK,1000
Wing A,142,1 BHK,1000
Wing A,143,1 BHK,1000
Wing A,144,1 BHK,1000
Wing A,145,1 BHK,1000
Wing A,146,1 BHK,1000
Wing A,147,1 BHK,1000
Wing A,148,1 BHK,1000
Wing A,149,1 BHK,1000
Wing A,150,1 BHK,1000
Wing A,151,1 BHK,1000
Wing A,152,1 BHK,1000
Wing A,153,1 BHK,1000
Wing A,154,1 BHK,1000
Wing A,155,1 BHK,1000
Wing A,156,1 BHK,1000
Wing A,157,1 BHK,1000
Wing A,158,1 BHK,1000
Wing A,159,1 BHK,1000
Wing A,160,1 BHK,1000
Wing A,161,1 BHK,1000
Wing A,162,1 BHK,1000
Wing A,163,1 BHK,1000
Wing A,164,1 BHK,1000
Wing A,165,1 BHK,1000
Wing A,166,1 BHK,1000
Wing A,167,1 BHK,1000
Wing A,168,1 BHK,1000
Wing A,169,1 BHK,1000
Wing A,170,1 BHK,1000
Wing A,171,1 BHK,1000
Wing A,172,1 BHK,1000
Wing A,173,1 BHK,1000
Wing A,174,1 BHK,1000
Wing A,175,1 BHK,1000
Wing A,176,1 BHK,1000
Wing A,177,1 BHK,1000
Wing A,178,1 BHK,1000
Wing A,179,1 BHK,1000
Wing A,180,1 BHK,1000
Wing A,181,1 BHK,1000
Wing A,182,1 BHK,1000
Wing A,183,1 BHK,1000
Wing A,184,1 BHK,1000
Wing A,185,1 BHK,1000
Wing A,186,1 BHK,1000
Wing A,187,1 BHK,1000
Wing A,188,1 BHK,1000
Wing A,189,1 BHK,1000
Wing A,190,1 BHK,1000
Wing A,191,1 BHK,1000
Wing A,192,1 BHK,1000
Wing A,193,1 BHK,1000
Wing A,194,1 BHK,1000
Wing A,195,1 BHK,1000
Wing A,196,1 BHK,1000
Wing A,197,1 BHK,1000
Wing A,198,1 BHK,1000
Wing A,199,1 BHK,1000
Wing A,200,1 BHK,1000
Wing B,201,1 BHK,1000
Wing B,202,1 BHK,1000
Wing B,203,1 BHK,1000
Wing B,204,1 BHK,1000
Wing B,205,1 BHK,1000
Wing B,206,1 BHK,1000
Wing B,207,1 BHK,1000
Wing B,208,1 BHK,1000
Wing B,209,1 BHK,1000
Wing B,210,1 BHK,1000
Wing B,211,1 BHK,1000
Wing B,212,1 BHK,1000
Wing B,213,1 BHK,1000
Wing B,214,1 BHK,1000
Wing B,215,1 BHK,1000
Wing B,216,1 BHK,1000
Wing B,217,1 BHK,1000
Wing B,218,1 BHK,1000
Wing B,219,1 BHK,1000
Wing B,220,1 BHK,1000
Wing B,221,1 BHK,1000
Wing B,222,1 BHK,1000
Wing B,223,1 BHK,1000
Wing B,224,1 BHK,1000
Wing B,225,1 BHK,1000
Wing B,226,1 BHK,1000
Wing B,227,1 BHK,1000
Wing B,228,1 BHK,1000
Wing B,229,1 BHK,1000
Wing B,230,1 BHK,1000
Wing B,231,1 BHK,1000
Wing B,232,1 BHK,1000
Wing B,233,1 BHK,1000
Wing B,234,1 BHK,1000
Wing B,235,1 BHK,1000
Wing B,236,1 BHK,1000
Wing B,237,1 BHK,1000
Wing B,238,1 BHK,1000
Wing B,239,1 BHK,1000
Wing B,240,1 BHK,1000
Wing B,241,1 BHK,1000
Wing B,242,1 BHK,1000
Wing B,243,1 BHK,1000
Wing B,244,1 BHK,1000
Wing B,245,1 BHK,1000
Wing B,246,1 BHK,1000
Wing B,247,1 BHK,1000
Wing B,248,1 BHK,1000
Wing B,249,1 BHK,1000
Wing B,250,1 BHK,1000
Wing B,251,1 BHK,1000
Wing B,252,1 BHK,1000
Wing B,253,1 BHK,1000
Wing B,254,1 BHK,1000
Wing B,255,1 BHK,1000
Wing B,256,1 BHK,1000
Wing B,257,1 BHK,1000
Wing B,258,1 BHK,1000
Wing B,259,1 BHK,1000
Wing B,260,1 BHK,1000
Wing B,261,1 BHK,1000
Wing B,262,1 BHK,1000
Wing B,263,1 BHK,1000
Wing B,264,1 BHK,1000
Wing B,265,1 BHK,1000
Wing B,266,1 BHK,1000
Wing B,267,1 BHK,1000
Wing B,268,1 BHK,1000
Wing B,269,1 BHK,1000
Wing B,270,1 BHK,1000
Wing B,271,1 BHK,1000
Wing B,272,1 BHK,1000
Wing B,273,1 BHK,1000
Wing B,274,1 BHK,1000
Wing B,275,1 BHK,1000
Wing B,276,1 BHK,1000
Wing B,277,1 BHK,1000
Wing B,278,1 BHK,1000
Wing B,279,1 BHK,1000
Wing B,280,1 BHK,1000
Wing B,281,1 BHK,1000
Wing B,282,1 BHK,1000
Wing B,283,1 BHK,1000
Wing B,284,1 BHK,1000
Wing B,285,1 BHK,1000
Wing B,286,1 BHK,1000
Wing B,287,1 BHK,1000
Wing B,288,1 BHK,1000
